Temperature,Groupsize,Replicate,90_speed,90_acc,latency
17,8,6,1.661127487256383,35.050888442314466,588.25
17,8,7,1.4030214545693327,32.27953390622017,591.2
17,8,8,0.9609496503784868,30.763445319233867,584.4
17,8,9,1.270290447914504,31.92403022286131,585.3333333333334
17,16,1,0.595831064494235,24.99016121061516,568.8
17,16,2,0.923559909812629,36.17765346492048,583.6
17,16,3,1.5150738895706855,45.980863889402414,582.5
17,16,4,0.5377441867164795,25.47413153670882,569.6
17,16,5,0.7208839914292808,30.662261257916775,583.4
17,16,6,1.3406620203829767,30.817879863332625,587.2
17,16,7,0.5564272641914236,24.038052253152582,579.4
17,16,8,0.9704815467948509,28.043922693015084,nan
17,16,9,0.9058487983650207,30.534380827651738,578.0
17,32,2,0.5858282889939425,25.977737911809747,579.8
17,32,3,0.9442870032356764,28.39850454436585,583.0
21,1,1,0.8214099399988621,54.23728617499738,nan
21,1,2,1.2071311881009683,51.21454971102532,nan
21,1,3,1.0631290027030174,44.211530914637734,nan
21,1,4,1.7320692478548225,80.24429567288722,nan
21,1,5,0.8191197469380604,53.58971720684714,nan
21,1,6,1.7421540648160883,55.1572289155626,579.6666666666666
21,2,1,1.1269222552132807,37.92313951004357,584.0
21,2,2,1.5511085869110472,51.28830045438634,nan
21,2,3,1.3338550891737948,38.69391287793907,599.3333333333334
21,2,4,1.8398448592944818,39.359549913996794,595.4
21,2,5,1.239685269776511,32.77287543997434,587.4
21,2,6,1.7371958287634384,38.091979848167526,nan
21,2,7,1.7784258135845845,48.078877498538844,584.6666666666666
21,2,8,0.7409212934563292,30.832321487957348,592.5
21,4,1,0.8458166081722522,30.684030608891106,578.5
21,4,2,1.1518034209192853,40.24076629237619,571.0
21,4,3,1.8098924236130363,36.0048491418228,589.0
21,4,4,1.3803878683854398,43.42377454225224,597.5
21,4,5,0.7328964723343715,37.100197735309926,585.75
21,4,6,0.7197104501767417,30.703643694623253,596.3333333333334
21,8,1,0.6461657345936613,27.43135334941031,590.0
21,8,2,1.0667865739546083,40.65868287824845,573.5
21,8,3,0.9877564278762626,38.89043206307053,588.0
21,8,4,0.9439505329559796,31.894573981327774,580.8
21,8,5,0.9906948651415751,33.50625223329816,588.6666666666666
21,8,6,0.4683852691053416,26.129075454832417,593.0
21,16,1,1.2068931831416905,35.96231880640434,585.6
21,16,2,0.9617934420673997,36.72287453039577,581.6
21,16,3,1.0701375087683318,46.66295054191099,587.0
21,16,4,0.8484691770611619,35.65292565751297,578.2
21,16,5,0.9785198920646205,38.63918773065259,580.6
21,16,6,1.678782961038654,43.62330317316373,594.8
21,16,7,1.1307915565767366,33.577548873712495,583.0
21,32,1,1.1295694082834054,38.56436541499361,nan
25,1,1,1.6066914282809899,45.49053431707932,nan
25,1,2,1.4005422077419298,48.46825039972648,nan
25,1,3,1.8715512347654577,51.28904938922764,nan
25,1,4,2.816876735389419,55.37386457132382,nan
25,1,5,1.8182331292369849,52.33603163470906,596.0
25,1,6,1.625443650934176,49.8313370512279,590.0
25,1,7,1.7262088812377485,46.34020129045663,597.0
25,1,8,1.05026448176011,45.9766165035944,595.0
25,2,1,1.4567140001832006,39.8503743150705,583.0
25,2,2,1.7909134588930051,40.02663174283098,nan
25,2,3,1.399773824013543,43.823660003237904,nan
25,2,4,0.9713726752851055,36.22353073895722,nan
25,2,5,0.8675789137405834,25.899859031525786,593.75
25,2,6,0.5660223831233677,26.912434630461,571.0
25,4,1,2.1219960439313805,36.79182324236183,594.6
25,4,2,1.3907813226847807,35.62311076878129,586.6666666666666
25,4,3,2.207858136577069,42.945978352421754,589.5
25,4,4,1.3168689091019226,46.181515764965575,nan
25,4,5,1.7571251733775055,43.141157156221574,592.0
25,4,6,1.841196100653252,35.124535911862154,589.75
25,8,1,1.2455732811860845,32.029947302841194,586.75
25,8,2,1.2733277975688817,29.70693571420985,592.0
25,8,3,1.2226544460536035,32.694299142668996,586.25
25,8,4,1.4642068583227812,33.824820786597904,589.75
25,8,5,1.4373041704164418,33.927667201183965,591.75
25,8,6,0.8808239012048948,27.15797664285824,583.6666666666666
25,16,1,0.8571428571428541,26.66718828111445,585.8
25,16,2,1.6093463332856413,34.916699511285415,592.6666666666666
25,16,3,1.5347337920109902,34.40789942771968,585.6
25,16,4,1.4734183491790642,38.05545816145511,602.0
